node_id,raw_id,node_type,is_main_video,is_related_only_video,has_label,label,split
0,6773901168964798477,video,yes,no,yes,0,test
1,6773906068725565448,video,yes,no,yes,0,train
2,7607376335287209262,video,yes,no,yes,0,train
3,7611807147693480123,video,yes,no,yes,0,train
4,7612702711930277162,video,yes,no,yes,0,train
5,7621563134427385115,video,yes,no,yes,0,test
6,7623811400036617514,video,yes,no,yes,0,train
7,7624915041154822758,video,yes,no,yes,0,train
8,7625487788040850730,video,yes,no,yes,0,train
9,7626374941507734799,video,yes,no,yes,0,test
10,7627315188374441226,video,yes,no,yes,0,train
11,7603997807167866276,video,yes,no,yes,0,train
12,7611611279710539049,video,yes,no,yes,0,train
13,7624795200761695503,video,yes,no,yes,0,test
14,7609532257409174803,video,yes,no,yes,1,train
15,7629294752583765300,video,yes,no,yes,0,train
16,7289747189515980067,video,yes,no,yes,1,train
17,7309857450302213376,video,yes,no,yes,0,train
18,7396829450211446050,video,yes,no,yes,0,train
19,7427381362337778980,video,yes,no,yes,1,train
20,7434082518397226249,video,yes,no,yes,1,val
21,7444105017394482482,video,yes,no,yes,1,val
22,7444362506467872027,video,yes,no,yes,1,train
23,7446264878886554895,video,yes,no,yes,0,train
24,7446279061011303732,video,yes,no,yes,0,train
25,7454910938953698575,video,yes,no,yes,0,train
26,7468609439512235291,video,yes,no,yes,0,train
27,7471153546663169315,video,yes,no,yes,0,train
28,7471174464001101090,video,yes,no,yes,1,train
29,7473095677464136975,video,yes,no,yes,1,val
30,7483107090936941874,video,yes,no,yes,0,train
31,7485566382344588578,video,yes,no,yes,1,train
32,7517969543269059850,video,yes,no,yes,1,train
33,7520905099401497891,video,yes,no,yes,1,val
34,7520939828767132928,video,yes,no,yes,0,train
35,7523116377247321383,video,yes,no,yes,0,test
36,7529381510349180223,video,yes,no,yes,0,val
37,7531357712618114313,video,yes,no,yes,1,val
38,7532461688206085402,video,yes,no,yes,0,train
39,7533721108269321472,video,yes,no,yes,0,train
40,7540659036979514643,video,yes,no,yes,0,test
41,7542468244687293715,video,yes,no,yes,0,train
42,7542804279636069667,video,yes,no,yes,0,train
43,7542842698634431783,video,yes,no,yes,0,train
44,7542847691571744000,video,yes,no,yes,0,train
45,7543076811148676379,video,yes,no,yes,0,train
46,7543115485139782958,video,yes,no,yes,0,train
47,7543152714943876387,video,yes,no,yes,0,val
48,7543189889081249074,video,yes,no,yes,0,val
49,7543215101344517439,video,yes,no,yes,0,train
50,7543503016624655654,video,yes,no,yes,0,train
51,7543520466653236530,video,yes,no,yes,0,test
52,7543581458393337103,video,yes,no,yes,1,val
53,7544038150016929058,video,yes,no,yes,1,test
54,7544569960832453924,video,yes,no,yes,1,train
55,7544971601616424243,video,yes,no,yes,0,test
56,7545038328261872911,video,yes,no,yes,0,train
57,7545041840672623912,video,yes,no,yes,0,train
58,7545044054392720675,video,yes,no,yes,0,val
59,7545305886307241216,video,yes,no,yes,0,val
60,7545362996415974697,video,yes,no,yes,0,val
61,7545381758141795634,video,yes,no,yes,0,train
62,7545681988758293779,video,yes,no,yes,0,train
63,7545695756263410998,video,yes,no,yes,0,train
64,7546175154821319999,video,yes,no,yes,0,train
65,7546245825110740233,video,yes,no,yes,0,train
66,7546401851793575222,video,yes,no,yes,0,val
67,7546402243684125988,video,yes,no,yes,0,val
68,7546836238272056619,video,yes,no,yes,0,train
69,7547620359265209639,video,yes,no,yes,0,train
70,7547991038376299810,video,yes,no,yes,0,train
71,7548001201619553536,video,yes,no,yes,0,train
72,7548390561330367794,video,yes,no,yes,0,train
73,7548734306391215395,video,yes,no,yes,0,train
74,7548755625631665444,video,yes,no,yes,1,train
75,7554260809254178048,video,yes,no,yes,0,train
76,7561278311050005779,video,yes,no,yes,0,train
77,7563552305543482624,video,yes,no,yes,0,test
78,7563585523508399386,video,yes,no,yes,1,train
79,7566550506869493042,video,yes,no,yes,0,val
80,7567284867466071306,video,yes,no,yes,1,test
81,7568320604852473123,video,yes,no,yes,0,test
82,7568702566624808202,video,yes,no,yes,0,val
83,7568707871634885924,video,yes,no,yes,0,train
84,7569106505291631907,video,yes,no,yes,1,train
85,7569586392179707179,video,yes,no,yes,1,train
86,7569888176370699526,video,yes,no,yes,1,test
87,7570225863401180457,video,yes,no,yes,1,train
88,7572554930871864626,video,yes,no,yes,1,test
89,7589984240465382706,video,yes,no,yes,1,train
90,7592195553556057380,video,yes,no,yes,1,train
91,7602990563549351174,video,yes,no,yes,1,train
92,7603044045849414918,video,yes,no,yes,0,test
93,7603284173666667817,video,yes,no,yes,1,train
94,7603320749184617762,video,yes,no,yes,0,train
95,7603331528524959027,video,yes,no,yes,1,train
96,7603413279016554682,video,yes,no,yes,1,test
97,7603425798183292201,video,yes,no,yes,1,train
98,7603682013224817051,video,yes,no,yes,1,train
99,7603699399272730533,video,yes,no,yes,1,train
100,7603699433041186048,video,yes,no,yes,1,val
101,7603718397817392422,video,yes,no,yes,1,train
102,7603733933624167699,video,yes,no,yes,1,train
103,7603736558218300722,video,yes,no,yes,0,val
