sample_id,video_id,author_id,label,split,combined_text_length,visual_non_null_count,structured_non_null_count
6773901168964798477,6773901168964798477,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0,train,45,7,38
6773906068725565448,6773906068725565448,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0,train,45,7,38
7289747189515980067,7289747189515980067,59639995221,0,train,227,17,38
7396829450211446050,7396829450211446050,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0,train,45,7,38
7434082518397226249,7434082518397226249,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0,train,45,7,38
7436607919690484992,7436607919690484992,f28b3db5-8a98-ee6b-09c6-4b5453f0e475,0,train,45,7,38
7444362506467872027,7444362506467872027,102334023579,1,train,630,17,38
7446264878886554895,7446264878886554895,93117380677,0,train,231,17,38
7446279061011303732,7446279061011303732,110107418620,0,train,173,17,38
7465919739051642166,7465919739051642166,111569815525,1,train,344,17,38
7468609439512235291,7468609439512235291,66342716264,0,train,1061,17,38
7476789346587151651,7476789346587151651,3157397667324584,0,train,319,17,38
7483107090936941874,7483107090936941874,2207423758342172,0,train,67,17,38
7485566382344588578,7485566382344588578,97113498102,0,train,683,17,38
7486467317828816166,7486467317828816166,3869901305159384,0,train,251,17,38
7513843872540233023,7513843872540233023,7499763308766807099,0,train,196,17,38
7514106819482045755,7514106819482045755,2410605723791054,0,train,1511,17,38
7518075611806551322,7518075611806551322,ba3359f9-9dfe-a8c1-a447-ef64d6d66bf6,0,train,45,7,38
7520905099401497891,7520905099401497891,3472701123732212,0,train,269,17,38
7523116377247321383,7523116377247321383,7499763308766807099,0,train,197,17,38
