video_id,tag_id,tag_name,tag_level,crawl_time
7624873382114282803,TAG_LIFESTYLE,生活记录,1,2026-04-27 15:03:29.419272
7624873382114282803,TAG_TECHNOLOGY,科技,2,2026-04-27 15:03:29.419272
7624873382114282803,TAG_SPORTS,运动,3,2026-04-27 15:03:29.419272
7625140333864586559,TAG_SPORTS,运动,1,2026-04-27 15:03:44.201186
7625140333864586559,TAG_FUNNY,搞笑,2,2026-04-27 15:03:44.201186
7625266759122124394,TAG_MUSIC,音乐,1,2026-04-27 15:03:50.675791
7625266759122124394,TAG_TECHNOLOGY,科技,2,2026-04-27 15:03:50.675791
7625382302234791183,TAG_EDUCATION,知识科普,1,2026-04-27 15:03:59.209786
7625382302234791183,TAG_GAMING,游戏,2,2026-04-27 15:03:59.209786
7625382302234791183,TAG_LIFESTYLE,生活记录,3,2026-04-27 15:03:59.209786
7625492021486144777,TAG_GAMING,游戏,1,2026-04-27 15:04:07.974783
7625492021486144777,TAG_MUSIC,音乐,2,2026-04-27 15:04:07.974783
7625531481825330537,TAG_LIFESTYLE,生活记录,1,2026-04-27 15:04:16.156054
7625531481825330537,TAG_FASHION,时尚,2,2026-04-27 15:04:16.156054
7625531481825330537,TAG_PETS,萌宠,3,2026-04-27 15:04:16.156054
7625546845988749440,TAG_TECHNOLOGY,科技,1,2026-04-27 15:04:23.509657
7625546845988749440,TAG_FUNNY,搞笑,2,2026-04-27 15:04:23.509657
7625929057691078053,TAG_TRAVEL,旅行,1,2026-04-27 15:04:28.233944
7625931818142878995,TAG_PETS,萌宠,1,2026-04-27 15:04:35.276228
7625943440111941754,TAG_EDUCATION,知识科普,1,2026-04-27 15:04:41.027821
7625943440111941754,TAG_FUNNY,搞笑,2,2026-04-27 15:04:41.027821
7625983892776400448,TAG_LIFESTYLE,生活记录,1,2026-04-27 15:04:51.188564
7625983892776400448,TAG_SPORTS,运动,2,2026-04-27 15:04:51.188564
7625983892776400448,TAG_GAMING,游戏,3,2026-04-27 15:04:51.188564
7626039783856311604,TAG_FASHION,时尚,1,2026-04-27 15:04:57.781611
7626039783856311604,TAG_FUNNY,搞笑,2,2026-04-27 15:04:57.781611
7626039783856311604,TAG_PETS,萌宠,3,2026-04-27 15:04:57.781611
7626119147679665427,TAG_FASHION,时尚,1,2026-04-27 15:05:05.872896
7626232419351317796,TAG_LIFESTYLE,生活记录,1,2026-04-27 15:05:12.056840
7626285740250418473,TAG_MUSIC,音乐,1,2026-04-27 15:05:23.124440
7626285740250418473,TAG_GAMING,游戏,2,2026-04-27 15:05:23.124440
7626285740250418473,TAG_FASHION,时尚,3,2026-04-27 15:05:23.124440
7626294890775145403,TAG_LIFESTYLE,生活记录,1,2026-04-27 15:05:32.681175
7626305366351007011,TAG_MUSIC,音乐,1,2026-04-27 15:05:37.339711
7626305366351007011,TAG_SPORTS,运动,2,2026-04-27 15:05:37.339711
7626584955816021274,TAG_FOOD,美食,1,2026-04-27 15:06:07.436596
7626584955816021274,TAG_FASHION,时尚,2,2026-04-27 15:06:07.436596
7626684177663986971,TAG_SPORTS,运动,1,2026-04-27 15:06:14.274431
7626684177663986971,TAG_FASHION,时尚,2,2026-04-27 15:06:14.274431
7626684177663986971,TAG_GAMING,游戏,3,2026-04-27 15:06:14.274431
