video_id,page_url,author_id,author_name,author_profile_url,desc_text,publish_time_raw,publish_time_std,like_count_raw,comment_count_raw,share_count_raw,like_count,comment_count,share_count,collect_count,hashtag_list,hashtag_count,cover_url,music_name,duration_sec,source_entry,match_type,confidence,selected_reason,is_primary_match,matched_object_id,crawl_time
7626389557025705262,https://www.douyin.com/video/7626389557025705262,272302036753048,钱继東,https://www.douyin.com/user/self?from_nav=1,"你是否睡足8小时，醒来依然疲惫、昏沉、像没睡一样？其实问题不在睡眠时长，而在于你的大脑是否允许自己“开机”。本视频从脑科学角度揭示：控制清晨状态的三大系统——昼夜节律、睡眠压力、认知负荷——只要一个失调，你就会困在""半睡半醒""的泥潭里。6个进阶转变，帮你彻底告别起床挣扎：
1.固定起床时间 – 大脑靠预设化学节律运行，每天同一时间醒来，才能锁定""开机信号""。
2.光线才是真闹钟 – 醒来5分钟内让眼睛接触强光，关闭褪黑素，启动皮质醇。
3.停止追逐8小时 – 跟随睡眠周期（6/7.5/9小时），在浅睡眠阶段醒来才清醒。
4.晚上建立""关闭序列"" – 清空未完结的念头，让大脑不再预判混乱。
5.打破""我不是早起的人""的自我认知 – 用重复的证据重塑身份，而非空想。
6.目标不是早起，而是清醒地醒来 – 移除大脑拖延醒来的原因，让早起自动发生。
没有意志力游戏，没有技巧堆砌。只有协调一致。清醒地醒来，才是真正的掌控。
适合想提高效率、改善睡眠、告别起床困难的所有人。点赞收藏，评论区告诉我：你会先尝试哪一个转变？
wake up early,why waking up is hard,sleep psychology,circadian rhythm,sleep cycle science,morning routine science,brain science sleep,why you feel tired after sleep,sleep optimization,morning productivity,neuroscience sleep,melatonin cortisol rhythm,healthy sleep habits,brain wake up mechanism,sleep research;
#自律 #早期 #睡眠 #失眠 #助眠",0,,1717,14,157,,,,,"['自律', '早期', '睡眠', '失眠', '助眠']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7626389557025705262,2026-04-16 05:29:08.479777
7542804279636069667,https://www.douyin.com/video/7542804279636069667,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,59,1,0,,,,,['人工智能公开课'],1,https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=94c09tBPPdvX4utvmAXHNqbSX%2BM%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542804279636069667,2026-04-16 05:29:26.733900
7542806628005924136,https://www.douyin.com/video/7542806628005924136,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,3,0,0,,,,,['人工智能公开课'],1,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542806628005924136,2026-04-16 05:29:40.384075
7542806911213784372,https://www.douyin.com/video/7542806911213784372,7524649017218434105,深度学习工程师,https://www.douyin.com/user/self?from_nav=1,主讲人：Sharon Zhou#人工智能公开课,0,,0,0,0,,,,,['人工智能公开课'],1,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7542806911213784372,2026-04-16 05:29:54.270439
7621084150518336822,https://www.douyin.com/video/7621084150518336822,2601876610615292,羽悠（500粉cos暮蝶）,https://www.douyin.com/user/self?from_nav=1,这一期太难猜了#horcus,1774697570,,9615,1356,11563,4938,,11563,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7621084150518336822,2026-04-16 05:30:05.422164
7614822256039988532,https://www.douyin.com/video/7614822256039988532,1097781186667780,无尘游戏解说,https://www.douyin.com/user/self?from_nav=1,#机瞄 #悠一 #顶猎 #赋能 #三角洲行动,0,,58815,643,7660,275,,,,"['机瞄', '悠一', '顶猎', '赋能', '三角洲行动']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7614822256039988532,2026-04-16 05:30:13.391963
7623572595511061425,https://www.douyin.com/video/7623572595511061425,294267576660596,Fox,https://www.douyin.com/user/self?from_nav=1,"13天养成10睡6起！五个步骤，不逼自己（下）

我是打算这辈子都不do脸的人 我怕疼 那保持美丽和健康性价比最高的方式就是早睡了！
如果不是是我自己用13天养成的 我也没有这么多的笃定
正是自己试过之后觉得太神奇了 真心希望每个宝子都学会！
这种好处只有你试过才知道！
别人说再多都是辅助你
希望我的辅助有点用
没有分享早睡视频的日子
我依然会早睡
因为身体是我自己的
我爱我自己
我为自己负责
#早睡 #熬夜 #拖延 #焦虑 #女性智慧",1775183419,,126,789,4913,2,,1310613,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7623572595511061425,2026-04-16 05:30:20.182333
7628896332375149860,https://www.douyin.com/video/7628896332375149860,643686173513364,火山引擎,https://www.douyin.com/user/self?from_nav=1,,0,,46,0,0,,,0,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7628896332375149860,2026-04-16 05:30:28.744040
7616583550904700210,https://www.douyin.com/video/7616583550904700210,4116986586733447,BigShot英语,https://www.douyin.com/user/self?from_nav=1,#英语#英语口语#英语听力#英语启蒙#青年创作者成长计划,0,,6967,130,318,1166,,318,,"['英语', '英语口语', '英语听力', '英语启蒙', '青年创作者成长计划']",5,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7616583550904700210,2026-04-16 05:30:37.441892
7627333730952105252,https://www.douyin.com/video/7627333730952105252,101988387837,落尽星辰,https://www.douyin.com/user/self?from_nav=1,,1776054216,,73,51,869,7,,869,,[],0,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1777496400&x-signature=M92yPXo4sxZZHb3O4HmYPeR6Jzo%3D&from=327834062,,,manual_url,exact,high,exact_video_id_match,True,7627333730952105252,2026-04-16 05:30:47.286624
